#Frame       chi1:120     chi2:120     chi3:120
       1     173.0335      60.3845      68.8061
       2    -166.6678      33.4248     107.2951
       3    -178.3792      42.5020      83.2384
       4     178.0974      64.0906      75.9271
       5     173.7348      50.1228      84.8725
       6    -173.9120      43.3972      92.2173
       7     178.8998      53.4114      72.8646
       8     176.9758      40.4495      67.1519
       9     179.1758      49.4809      71.5477
      10    -174.5519      32.6492      92.2407
      11    -177.2807      27.3254      79.2307
      12     179.5672      50.7579      77.2740
      13    -169.9033      43.4874      88.2346
      14     179.9367      51.5567      86.2144
      15     174.0837      51.8785      81.6435
      16     178.3931      55.5205      81.2679
      17    -165.6013      55.4562      83.7898
      18    -179.9976      53.5120      72.7303
      19    -175.0592      47.8834      90.6303
      20    -176.4673      55.7416      60.0536
      21     176.0804      63.5883      87.4000
      22    -178.3904      50.9148      91.0866
      23    -172.1944      49.3068     102.8234
      24    -179.5917      73.6171     100.4596
      25    -178.0293      59.5760      85.1423
      26     172.4719      64.1726     109.9026
      27    -174.4509      61.0813     102.5219
      28    -173.1570      60.3757     103.1602
      29    -179.3803      51.7588     106.2629
      30    -174.2845      56.3801      85.0648
      31    -164.1264      49.6386     114.8747
      32     177.7513      50.7585     115.5867
      33    -174.5684      51.3293     102.7292
      34     179.0052      62.5315      86.9417
      35    -174.6447      52.5736      97.6132
      36    -163.5928      49.0650      90.5360
      37    -155.7876      33.7764     107.0960
      38    -177.1025      58.3458      75.1131
      39     178.1626      56.9150      72.8372
      40    -176.4942      50.5278      79.2447
      41     179.5627      55.7147      78.4332
      42    -173.0761      43.7337      80.4443
      43    -179.5731      54.9389      84.2656
      44    -166.6174      49.1025      72.3178
      45    -173.8767      48.4124      75.5267
      46    -175.1976      60.8715      60.0404
      47    -170.5381      53.5516      76.9179
      48    -177.1558      66.9356      88.2392
      49    -160.5793      37.1614      88.2166
      50    -176.4006      57.7192      96.4340
      51     178.1736      56.8762      74.6421
      52    -178.6387      53.9177      60.7182
      53     176.3440      59.5201      89.0695
      54    -175.9397      51.6908      79.9458
      55    -172.6996      56.1753      81.9533
      56    -175.6668      47.3679      77.6594
      57    -166.5854      42.0840      80.1295
      58    -176.0078      49.7865      77.0373
      59     178.5146      60.1417      74.0747
      60    -174.5944      55.5025      79.4871
      61    -173.9611      50.5495      58.5248
      62    -165.4929      40.7239      75.2495
      63    -168.2570      33.6147      56.0360
      64     177.1826      43.2062      48.0344
      65    -171.0133      42.7369      72.4363
      66    -173.5516      45.0928      63.2247
      67     177.6121      55.2406      65.5521
      68    -172.6667      42.1661      79.9813
      69    -158.0049      32.4875      83.6068
      70    -168.5691      47.4151      66.9662
      71    -165.4706      42.1828      78.3345
      72     171.2452      64.3869      57.4541
      73    -174.5295      46.7902      61.6180
      74    -162.5398      34.7623      68.2914
      75    -173.8770      35.1477      63.4210
      76     178.6682      56.6390      73.5499
      77    -157.4002      29.4828      98.0235
      78    -179.6600      62.9610      74.0572
      79     165.2862      62.0942      71.5399
      80     177.7662      53.0267      63.0220
      81    -179.3033      53.0887      76.3322
      82    -172.0972      55.9484      71.2076
      83    -171.4619      44.2139      74.1542
      84     177.7119      48.7885      65.0941
      85    -173.9314      53.0138      74.0702
      86    -177.0658      45.6476      54.8473
      87    -168.5264      29.9923      67.4523
      88    -174.1656      40.3557      55.8081
      89     175.8553      43.2815      55.1488
      90    -169.5883      50.4453      45.5122
      91    -177.6291      50.3759      39.5923
      92    -147.0046      20.6597      93.3566
      93     179.0008      43.5146      74.0153
      94    -164.0951      37.0842      57.9512
      95    -171.3936      30.6200      74.1409
      96    -164.8559      50.7842      65.4692
      97    -172.4540      62.0912      72.8842
      98    -163.2622      27.4056      81.6678
      99    -161.6106      37.8046      66.9756
     100    -158.8260      46.0025      74.6291
     101    -175.1711      42.4910      70.2627
     102    -179.2856      64.3834      61.1800
     103    -166.3101      48.9613      89.9486
     104    -158.7425      35.6136      78.0663
     105    -164.2280      46.1399      68.0278
     106    -165.3243      29.7726      76.2982
     107    -160.1954      31.4354      91.3718
     108    -175.8304      50.6873      47.1284
     109    -179.7795      58.9408      67.7720
     110    -163.9194      40.3464      72.2295
     111    -175.2850      48.2746      77.1290
     112     178.5510      55.7004      57.9489
     113    -178.2399      44.9039      65.4624
     114     176.8167      63.7840      70.8701
     115     177.5883      55.4259      55.6018
     116    -179.9977      56.2623      44.3834
     117    -171.7368      49.8809      59.4956
     118    -178.5809      49.4743      62.9137
     119    -176.1063      60.3958      79.4583
     120    -172.5103      53.9922      88.9555
     121    -171.8975      48.1985      93.1365
     122    -167.0218      47.1269      94.1050
     123    -168.5920      49.8406      87.6078
     124    -178.9968      56.9157      80.4315
     125    -173.7481      49.9592      73.4103
     126    -169.9083      62.6951      73.2786
     127    -173.2063      57.8831      92.1087
     128    -175.6967      54.2423      83.2283
     129    -175.7058      51.5045      80.5540
     130    -172.2464      53.8844      93.0569
     131    -173.7989      49.8782      89.9724
     132    -162.2398      34.5064      95.3924
     133    -175.5310      52.1432      81.3682
     134    -168.5156      43.6010      91.8937
     135    -175.6022      53.4843     102.1989
     136    -170.2261      45.0232      94.5238
     137    -170.9425      57.2589     101.8312
     138    -165.7492      40.8915     109.9179
     139    -173.1446      60.5586      86.2303
     140    -177.7997      44.6863      85.8055
     141    -167.2452      34.1159      91.3148
     142    -165.3042      47.5261      88.7400
     143    -179.5105      61.9663      89.2395
     144     176.7774      63.4345      85.9527
     145    -171.3262      58.8198      87.0234
     146    -167.5857      50.0679      90.0641
     147    -166.3294      52.7576      86.8398
     148    -164.2994      42.6340      92.7160
     149    -168.6716      40.9160     107.6042
     150    -174.7657      59.4442     107.1599
     151    -177.6238      58.9173      89.3065
     152    -178.2842      62.5487      97.0117
     153     179.1003      48.5739      98.1347
     154    -167.3064      60.5111      87.4427
     155    -167.3721      52.4086      94.9381
     156    -173.6346      42.1810      89.7889
     157    -178.1370      63.0554      72.2144
     158    -172.9236      44.9490      70.4365
     159    -175.8386      53.9677      78.7258
     160    -167.4972      37.4612      66.7394
     161    -168.4321      55.7575      61.4972
     162    -177.3979      49.6165      55.1861
     163    -172.2486      48.3327      61.1784
     164     174.4641      53.9759      54.5905
     165    -173.4594      49.9068      61.1203
     166    -164.3844      47.8714      57.1642
     167    -157.1246      43.8283      65.3354
     168     175.9085      54.5121      57.9676
     169    -176.7843      42.6571      53.9313
     170    -170.9676      43.2261      68.7414
     171     177.5163      62.1999      58.0216
     172    -168.9433      56.3871      52.0281
     173     172.2001      46.9871      51.4661
     174     177.8640      54.9156      69.2489
     175    -173.7431      48.4402      72.7227
     176    -178.9488      56.4551      45.0899
     177    -169.4841      42.8655      55.8697
     178    -175.6601      60.7282      59.2707
     179    -169.8570      40.7063      68.2193
     180    -170.8959      58.1109      33.6947
     181     171.0855      58.4872      38.9447
     182    -174.7324      46.6449      48.4493
     183    -175.2239      43.0356      55.9815
     184    -175.9238      49.9366      49.0172
     185     178.2743      42.4902      58.0596
     186     179.6467      58.0133      61.2426
     187    -174.9104      45.2621      49.7179
     188    -161.5663      19.8331      82.5622
     189    -165.1858      50.3100      61.1871
     190    -174.8322      43.2909      59.3694
     191    -178.4926      49.4801      60.3145
     192    -167.3927      47.2218      65.5706
     193    -161.1751      36.3885      73.5423
     194    -173.1308      43.3573      56.7924
     195    -177.4492      50.4015      58.5446
     196    -172.8038      45.8141      58.9133
     197    -156.7971      35.9591      96.7664
     198    -170.3017      48.4809      73.0154
     199    -157.9553      31.0179      80.3563
     200    -157.3410      45.4311      76.0070
     201    -173.2267      49.5953      65.3466
     202    -166.2248      37.0192      71.5755
     203    -174.6658      51.0542      58.9654
     204    -169.4709      33.1078      76.1243
     205    -173.0712      44.8008      70.7878
     206    -169.7670      43.3849      86.4639
     207    -173.1960      46.6797      46.6309
     208    -172.1970      53.2596      68.8535
     209    -172.4089      53.5460      50.9340
     210    -166.4583      43.1891      80.1962
     211    -177.5528      53.2150      61.3140
     212    -155.3568      38.6838     102.7006
     213    -173.9500      53.7476      82.8762
     214    -163.1387      45.0700      58.1857
     215    -172.9976      51.7394      66.8638
     216    -156.8766      40.6274     100.2538
     217    -175.3384      55.1369      69.9505
     218    -168.7172      51.5473      70.7786
     219    -175.5165      42.7223      85.9140
     220    -166.0865      51.9396      66.5486
     221    -158.5504      49.0609      66.1048
     222    -168.8652      44.6885      71.5551
     223    -165.3526      50.1182      72.9513
     224    -166.8814      35.0568      75.3235
     225    -164.9776      49.7326      68.6413
     226    -163.4417      51.8516      59.8629
     227    -174.7157      55.7909      75.0195
     228    -159.5177      57.7539      61.9297
     229    -154.3400      43.9187      55.6174
     230    -161.3336      46.2660      58.9051
     231    -178.8781      51.1068      51.9130
     232    -164.9029      41.3032      93.0240
     233    -168.1876      45.5977      70.5286
     234    -163.3267      38.2915      75.0327
     235    -179.6235      55.2121      97.3295
     236    -163.2134      38.7481      82.3846
     237    -171.6378      48.0345      54.5722
     238    -173.8413      52.1931      65.0354
     239    -171.4287      58.3008      71.6273
     240    -175.9939      61.6159      59.7641
     241    -172.2999      49.9172      74.6746
     242    -166.2918      39.6767      64.7201
     243    -167.9360      43.1172      74.7978
     244    -176.6814      53.3905      81.5113
     245    -167.3163      47.2615      80.4237
     246    -166.6227      50.2469      69.4032
     247    -164.8726      45.6441      73.1367
     248    -166.2777      35.2516      69.7531
     249    -158.9589      31.8459      64.0831
     250     179.5385      46.3080      61.4142
     251    -170.9344      39.3666      60.4135
     252    -170.2452      27.1055      63.8793
     253    -167.9908      49.3329      61.8747
     254    -178.9177      48.7098      62.1265
     255    -170.4748      42.2227      61.5742
     256    -174.1781      51.6256      74.4904
     257    -160.5831      33.4593      58.9746
     258    -171.5558      46.9388      55.1793
     259    -179.4821      54.2294      33.6203
     260     174.5745      57.3082      50.3010
     261    -178.9517      34.0215      59.6382
     262    -154.9747      13.0317      64.0309
     263    -149.7693       9.8135      72.2389
     264    -167.1293      33.5015      60.9853
     265    -172.0433      36.5249      63.0074
     266    -174.4909      39.7433      58.0400
     267    -164.4160      29.3203      63.3564
     268    -169.9160      32.4689      62.5857
     269     179.0621      36.4000      41.3118
     270    -176.4338      51.4114      45.9106
     271    -169.3987      31.5743      69.9096
     272     178.3681      47.8250      61.5574
     273    -172.6047      29.0494      57.4931
     274    -174.5112      44.3682      57.9514
     275    -167.5201      29.6967      83.3519
     276    -162.8713      30.2801      74.2558
     277     179.8011      45.2706      72.8633
     278     178.8626      50.8801      64.7551
     279    -173.6988      31.9980      75.8285
     280    -164.6315      37.7330      71.0875
     281     176.1339      59.6863      65.4437
     282    -177.2933      50.0609      58.7639
     283     171.7412      64.9517      64.1561
     284    -172.6298      50.4097      55.5306
     285    -169.8830      39.7580      72.3750
     286    -167.1387      46.7357      72.1890
     287    -166.4743      47.6012      66.9752
     288    -168.1514      46.8673     102.9460
     289    -165.9787      42.4026      79.1989
     290    -166.6058      46.0808     105.1619
     291    -170.0478      46.5394      75.5348
     292    -168.7776      50.9932      64.6820
     293    -171.0462      54.6164      68.4265
     294    -159.3747      34.7797      78.5622
     295    -171.2065      53.7076      85.1160
     296    -169.5648      51.4329      81.6332
     297    -166.6230      54.0614      86.8625
     298    -177.1705      55.5260      81.8278
     299    -170.0391      49.2252      88.1641
     300    -175.9146      50.3634      85.5323
     301    -166.2717      47.8068      74.6195
     302    -168.4740      53.2895      77.2254
     303    -171.6592      53.1288      54.9858
     304    -170.6772      51.2945      94.8381
     305    -166.0641      38.7840      76.1141
     306    -159.3258      38.6096      91.4165
     307    -165.6206      45.9714      76.5700
     308    -173.0473      43.2711      91.8103
     309    -176.8451      56.2018      75.0376
     310    -164.1727      39.9473      82.3802
     311    -168.3262      53.3381      77.6107
     312    -173.5994      50.2836      84.3392
     313    -169.9885      46.0474      76.7802
     314    -167.9308      42.7697      86.7024
     315    -166.9823      50.0210      77.9934
     316    -174.0566      57.6746      88.8307
     317    -173.6884      52.9827      88.4364
     318    -176.3064      54.0558      89.7621
     319    -168.9677      45.0766      95.9211
     320    -150.1500      38.7267      86.8225
     321    -177.0619      51.9594      86.6155
     322    -166.3397      46.1885      85.4811
     323    -173.9896      57.3609      65.8513
     324    -169.0555      49.4159      80.6154
     325    -171.9358      64.5381      71.7567
     326    -164.8043      52.2534      95.1946
     327    -176.5356      55.5158      72.7118
     328    -153.4286      37.9679      83.5421
     329    -166.3628      55.8924      70.7944
     330    -166.2517      51.4308      80.6850
     331    -170.2531      57.8249      73.9164
     332    -171.0066      45.7587      78.5542
     333    -176.3910      52.2438      61.5777
     334    -176.4556      46.2649      99.4548
     335     177.0203      64.4507      86.2017
     336    -169.9333      53.6308      82.3143
     337    -171.8456      49.7422      80.3791
     338     179.6141      61.6019      92.9138
     339    -158.6084      46.1020      93.7797
     340     174.9676      60.3981      88.6345
     341    -174.8292      49.7300     106.6631
     342    -170.6122      42.5743      86.6510
     343    -173.4650      53.1043      93.2049
     344     172.7744      64.9266      66.6526
     345    -177.6072      57.5196      71.9159
     346    -175.9223      57.5606     105.4251
     347    -163.7938      41.9969      89.7302
     348    -171.1017      62.1584      94.2197
     349    -169.2086      45.1985     102.7998
     350    -179.2847      49.4800      87.4821
     351    -173.8482      49.7350      91.6464
     352    -168.1236      40.8408      77.8933
     353     169.0289      63.8066      85.1070
     354    -170.5595      41.7728     104.4794
     355    -173.5230      48.8899      93.5234
     356    -175.7429      47.7201      49.6903
