Using WEST data from '/ix/lchong/dty7/d1d2/2kod/o_angle/2d_oamax_c2_ss_v00/kinetics/west.h5'
# successful (recycled) segments
# column 0:    iteration
# column 1:    seg_id
# column 2:    weight
# column>2:    final progress coordinate value
      41           0     1.1078136864641e-15           52.0844           78.6386
      41           2     2.2156273729282e-15           51.2626             75.19
      44           0     1.3847671080801e-16           53.3328           75.9345
      52          97     5.7698629503337e-18           52.0996           83.3885
      52          98     5.7698629503337e-18           53.3934           80.8674
      53           0     2.8849314751669e-18           52.6545            82.549
      53           1     2.8849314751669e-18           51.4217           75.8456
      53           2     2.8849314751669e-18           51.1806           81.2472
      56           1     5.6346317874353e-20           51.7124           85.9267
      56           2     5.6346317874353e-20           52.9314           78.9709
      56          89     5.6346317874353e-20           52.9463           75.7692
      56          91     5.6346317874353e-20           51.5101           75.1743
      57           3     2.8173158937176e-20           53.1061           84.0082
      59           0     4.6955264895294e-21           52.2212           75.6994
      60          94     1.1738816223824e-21           52.2749           79.8617
      61           3     1.1738816223824e-21           51.6361          82.31779
      62           1     5.8694081119118e-22           52.1898           75.9601
      68           0     9.7823468531863e-23            52.035           80.6229
      68           1     4.8911734265931e-23           51.6045           83.9626
     152          88     3.9062390131568e-05           51.7355           75.6225
     152          91     3.9062390131568e-05           54.8388           77.3619
     156          94     5.9353509515091e-05           52.7142           75.4671
     170          90      8.843473647784e-09           52.2138           76.3894
     172           0      5.527171029865e-10           54.6334          75.37849
