#Frame        chi1:41      chi2:41
     228     -71.8545      80.0653
     229     -65.6527      96.3462
     230     -98.8052      83.3425
     231     -69.7286      98.3165
     232     -86.5816      93.1644
     233     -84.2055     106.1652
     234     -74.7877     105.7314
     235     -90.1990      97.2010
     236     -83.9048     110.1527
     237     -81.2213      87.1290
     238     -55.8839      79.6739
     239     -56.8307      92.3438
     240     -81.8240      90.9017
     241     -74.0162      96.4167
     242     -68.3122     104.9407
     243     -52.3053      88.3998
     244     -71.2724      75.5191
     245     -84.8178      85.9460
     246     -51.7571      88.4455
     247     -63.5905      86.3340
     248     -71.7801      88.6360
     249     -56.2753      91.6703
     250     -79.6301      95.2153
     251     -79.6356      90.8793
     252     -65.4240      91.5930
     253     -71.8388     112.8113
     254     -68.6486      94.3910
     255     -78.8122     107.5348
     256     -69.3452      76.8545
     257     -83.4095      87.2489
     258     -80.1788     106.1221
     259     -79.7146     103.5426
     260     -72.8454     107.0284
     261     -60.2204      98.3758
     262     -84.8316     100.0631
     263     -81.2469      85.8637
     264     -57.5517     108.5058
     265     -66.3507     115.3963
     266     -63.5134     110.3156
     267     -73.7971     104.2972
     268     -60.4630      88.2748
     269     -61.8894      93.2699
     270     -72.7115      95.9002
     271     -72.8622      97.7381
     272     -74.9133      75.1048
     273     -61.3023      85.8075
     274     -77.8895      77.6054
     275     -77.2401      88.5433
     276     -69.0476      77.2418
     277     -90.0017      91.5415
     278     -71.4094      92.8811
     279     -73.7735      75.6261
     280     -70.7509     111.4760
     281     -68.1687      77.5497
     282     -59.2765      99.6118
     283     -55.0044      89.9443
     284     -61.5712      97.6601
     285     -67.1732      99.4046
     286     -57.0357      90.0371
     287     -75.1917      97.2392
     288     -59.8719      94.3806
     289     -85.0768     108.2251
     290     -60.8666     109.7305
     291     -72.8871      96.0666
     292     -76.5237      86.3297
     293     -68.6859      91.6454
     294     -86.3261     103.2989
     295     -83.2826     100.2983
     296     -77.2505      93.4754
     297     -87.9183      95.7159
     298     -78.8240      93.9270
     299     -91.5247     107.2025
     300     -81.1264     106.3537
     301     -77.3258      85.4979
     302     -55.3993     103.1954
     303     -64.8931     103.0946
     304     -79.0526      99.6720
     305     -83.2814     125.5773
     306     -73.9860      81.4452
     307     -52.7294      85.2287
     308     -61.4325      83.0485
     309     -80.3745      92.6267
     310     -87.4198      99.0990
     311     -76.4636      98.2368
     312     -67.5528     105.9192
     313     -70.4337      99.4674
     314     -87.1856     100.4568
     315     -79.0381     112.7440
     316     -69.5516     111.6636
     317     -82.8028     106.3228
     318     -70.9630     103.5086
     319     -87.0561     106.1843
     320     -74.4494     114.1155
     321     -69.8876      97.4844
     322     -64.1089      92.2479
     323     -81.6339     106.8674
     324     -80.2677     109.7403
     325     -73.5414     110.7188
     326     -77.7130     105.4640
     327     -90.9304     117.4467
     328     -78.9919     121.2917
     329     -64.3125     106.2717
     330     -69.9055      95.6898
     331     -68.7330      93.4644
     332     -68.3998     112.0152
     333     -70.8810     119.7737
     334     -79.8737     103.0142
     335     -71.8706      95.5988
     336     -61.1465     105.9351
     337     -68.7604      88.4449
     338     -57.9180      93.9095
     339     -66.4440     105.2373
     340     -71.0505     112.9561
     341     -73.0453      99.3007
     342     -72.7656     110.7574
     343     -71.2703     102.3395
     344     -80.2097     109.9602
     345     -76.2846     110.6919
     346     -65.9252     108.6153
     347     -74.5505     102.1435
     348     -71.7329     110.4611
     349     -84.9652      99.1168
     350     -76.2253     109.1036
     351     -92.5119     121.7452
     352     -73.0488      93.8288
     353     -65.4706      80.0184
     354     -59.2241      94.0845
     355     -73.1159     105.0725
     356     -79.6210     102.0007
     357     -72.3769      93.6076
     358     -71.9536      94.6889
     359     -85.6799      98.5915
     360     -57.5190      87.2918
     361     -82.0686      95.0759
     362     -48.2367      86.7790
     363     -83.6208      71.8584
     364     -69.8252      98.9104
     365     -72.7693      80.2820
     366     -77.3404     110.0772
     367     -69.7464      95.1352
     368     -97.2734     106.0584
     369     -75.3531      91.6612
     370     -83.1559     131.9532
     371     -73.8555     101.4082
     372     -60.4746      99.8198
     373     -70.9974      99.7723
     374     -87.4704      85.6289
     375     -81.9326      95.7814
     376     -68.5109      91.8412
     377     -65.3431      90.1426
     378     -74.2679     104.5819
     379     -67.0605     112.5698
     380     -83.4934     100.2987
     381     -76.5263     103.9662
     382     -91.3163     110.4545
     383     -78.3856      98.6382
     384     -77.4813      99.3273
     385     -86.9394      92.2163
     386     -61.1664     103.8263
     387     -65.2475      91.8007
     388     -79.0300      82.1186
     389     -67.2614      88.9945
     390     -69.3023     102.3168
     391     -88.9812      92.8041
     392     -82.4945      95.3532
     393     -67.4263     114.2578
     394     -77.4404      98.3627
     395     -66.6180     109.3783
     396     -78.8322     108.9316
     397     -61.0214     100.0989
     398     -64.9302      85.8467
     399     -78.8668     113.2881
     400     -71.4443     108.9755
     401     -82.0520     110.5009
     402     -61.3183      93.8180
     403     -82.4603      97.1609
     404     -68.5291     101.9007
     405     -87.7113      98.8869
     406     -78.1547     119.4716
     407     -56.1427     111.9439
     408     -57.7323      92.1458
     409     -62.9177     105.6317
     410     -79.3151     112.4471
     411     -75.1598     110.9509
     412     -76.1739     101.1948
     413     -66.5564      95.8527
     414     -74.2648     109.5640
     415     -77.8973      95.6197
     416     -60.8208      96.9844
     417     -53.6834      88.1547
     418     -49.3633     107.1128
     419     -81.2272     105.0941
     420     -78.2106     114.4804
     421     -75.4413     105.2172
     422     -76.7640     104.8913
     423     -70.3941     101.2785
     424     -66.3024     116.9464
     425     -63.2299     108.3766
     426     -81.0355      84.2604
     427     -63.4167     102.0091
     428     -85.6159     100.1471
     429     -59.4355     103.4077
     430     -74.9641     109.1367
     431     -80.9635      97.2965
     432     -68.2177      99.3114
     433     -75.1690      99.2682
     434     -61.1388      90.0963
     435     -79.3513     103.9618
     436     -64.6973      95.8003
     437     -63.4014      98.3510
     438     -66.5115     104.1909
     439     -57.7840      96.8893
     440     -68.0280     101.2426
     441     -67.0779     120.6703
     442     -65.8925      86.8333
     443     -81.7322      89.0663
     444     -68.9840     103.3796
     445     -71.3636     106.4756
     446     -69.9501      83.2509
     447     -69.4900      99.2322
     448     -65.4328      86.3830
     449     -96.8608     107.0439
     450     -78.5739      97.4295
     451     -70.9050     108.0637
     452     -75.7469     104.3347
     453     -75.6725     116.0466
     454     -81.8987      96.3214
     455     -80.1767      98.0112
     456     -74.0581      98.8653
     457     -75.1623     109.3675
     458     -87.4662      96.5885
     459     -79.1504      96.2071
     460     -78.5584      92.0085
     461     -84.5463      92.4180
     462     -89.7274     101.9912
     463     -62.1412     107.8027
     464     -74.5160     100.3238
     465     -72.1709      96.8158
     466     -76.5536      83.5313
     467     -57.1164      96.8797
     468     -56.6527      97.9266
     469     -74.0418      97.9341
     470     -83.6452      89.9056
     471     -74.2827     121.0184
     472     -70.8090      89.5934
     473     -63.4599     105.5639
     474     -65.5657     111.5046
     475     -75.6726     108.7648
     476     -58.4960      92.6001
     477     -60.6085      94.4174
     478     -58.1149      84.6415
     479     -79.1479     103.0425
     480     -70.5667      88.4214
     481     -65.8901     101.0287
     482     -70.4675      99.7636
     483     -82.0134     111.2036
     484     -71.0151      93.5916
     485     -58.6174      94.5205
     486     -77.1014      85.5920
     487     -54.2366     100.0028
     488     -84.8551     106.1153
     489     -80.7830     110.0020
     490     -64.0605     113.5275
     491     -72.0615      82.0185
     492     -76.7404     102.7832
     493     -83.6370      87.9945
     494     -71.9470     107.2461
     495     -71.3896      85.5067
     496     -56.8127      95.5279
     497     -64.2285     107.1535
     498     -86.6842     106.4857
     499     -71.3018      85.4826
     500     -79.3496     106.8104
     501     -74.2357      84.9650
     502     -66.6761      70.6101
     503     -72.3180     103.6895
     504     -72.8588      83.4596
     505     -72.6890     108.0443
     506     -64.1080      88.9618
     507     -73.5763     108.9204
     508     -73.9353     111.5441
     509     -70.8321     107.2392
     510     -60.6542      93.4584
     511     -70.1919      89.1535
     512     -71.3442     100.7765
     513     -76.3023     108.3633
     514     -63.8807      86.1753
     515     -72.8296     105.7728
     516     -54.3064     102.7610
     517     -79.5234      83.9630
     518     -59.0338      89.9219
     519     -55.8846      97.1609
     520     -72.1402     117.7503
     521     -64.6257     105.3337
     522     -70.0045      90.1599
     523     -61.5952     113.5693
     524     -79.5960      85.1292
     525     -66.2767     109.9903
     526     -66.6124     105.0454
     527     -77.4720     112.5627
     528     -77.8324     110.9252
     529     -75.9161     102.8450
     530     -72.0423     116.4886
     531     -73.2472     102.5616
     532     -71.9329      91.0707
     533     -68.3873     103.4613
     534     -76.4382     112.3013
     535     -91.6663      88.1536
     536     -62.8471     109.6880
     537     -75.3707      89.7697
     538     -80.3523      82.3739
     539     -70.8901     101.2744
     540     -73.0940     100.8439
     541     -72.9962      85.3514
     542     -68.9095      80.2065
     543     -65.6980     107.6480
     544     -66.3306      91.7103
     545     -74.5456      89.3001
     546     -80.5136      96.2131
     547     -69.9174      99.2741
     548     -58.5160      71.4572
     549     -84.7501      92.0032
     550     -64.2496      91.5154
     551     -72.9996      80.0053
     552     -80.7468      90.4539
     553     -78.2573     101.2799
     554     -72.8335      95.2052
     555     -72.5558      77.6718
     556     -66.2282      69.9340
     557     -72.0115      74.7742
     558     -70.0319      86.2489
     559     -75.3638      98.8581
     560     -48.4617      98.9615
     561     -72.7067     108.7626
     562     -71.5493     111.4343
     563     -68.1192      94.1786
     564     -72.9320     100.7307
     565     -69.5308     100.2279
     566     -66.0097      99.6266
     567     -79.0937     105.3183
     568     -93.5584      96.5037
     569     -79.9380      85.7632
     570     -72.9405      84.4367
     571     -78.9490      97.8763
     572     -59.9712      96.3660
     573     -71.4847      92.9632
     574     -80.6654      85.3891
     575     -80.7761      94.8302
     576     -79.0224     103.9061
     577     -70.9522      95.2397
     578     -71.2556      90.0204
     579     -65.8916     116.6688
     580     -66.1274      94.2230
     581     -56.1703      95.7154
     582     -66.3842      87.6747
     583     -74.5177      98.0501
     584     -75.9202      94.9528
     585     -80.5562     112.9965
     586     -72.1327      93.3436
     587     -88.0879      92.2331
     588     -79.4660     114.9600
     589     -72.0115     103.3473
     590     -82.1496      89.2618
     591     -82.1048      89.5921
     592     -58.7921     106.9930
     593     -54.7378      75.3118
     594     -79.9109      97.3381
     595     -66.5226      91.9927
     596     -62.9360      74.3184
     597     -74.9516      97.7380
     598     -75.2728     117.7421
     599     -60.1216     100.2956
     600     -70.7055     105.5057
     601     -70.6005      93.9916
     602     -53.4821      92.1694
     603     -62.2185     108.2893
     604     -76.0924      93.3877
     605     -90.8048      88.7711
     606     -78.3407      93.9020
     607     -69.9610      72.9246
     608     -69.0724     102.2727
     609     -72.7647     104.4565
     610     -74.4319     117.3782
     611     -67.6893      99.9666
     612     -63.4548     103.4296
     613     -78.1365     114.7838
     614     -71.2657      94.9060
     615     -55.5847      93.9218
     616     -75.1682     112.3785
     617     -83.3013     112.0290
     618     -66.8448     116.2992
     619     -79.8799     119.6152
     620     -54.5427      75.6887
     621     -76.8344     108.3303
     622     -81.4344     114.4350
     623     -73.0686      99.4957
     624     -65.7402     106.2433
     625     -66.6288     106.4596
     626     -64.8200     114.2952
     627     -77.5564      96.9785
     628     -70.8494      94.7734
     629     -82.8666     106.0619
     630     -78.4262      97.2640
     631     -64.8964     117.1593
     632     -66.9738      92.3391
     633     -49.3669      88.1173
     634     -52.7713      84.6898
     635     -52.1819     104.7461
     636     -55.9694      96.0244
     637     -60.2894     107.0718
     638     -51.6210      87.7840
     639     -48.3823      87.1296
     640     -79.4347     101.4606
     641     -83.9587     109.5754
     642     -60.5857     101.6758
     643     -73.7452      98.6485
     644     -73.4694      99.5118
     645     -74.6352      92.2215
     646     -59.9609      82.9693
     647     -91.0778     103.8801
     648     -73.8273      89.4709
     649     -58.8701      96.2949
     650     -94.7919     119.3988
     651     -71.0970     103.1644
     652     -76.9106      92.9573
     653     -81.5720      80.1501
     654     -63.1978      92.2292
     655     -76.9390     109.6735
     656     -75.4874     105.7592
     657     -70.9478      88.6557
     658     -81.0265      84.8580
     659     -79.0577      93.6996
     660     -73.3826      88.3175
     661     -71.5803      90.0284
     662     -69.8552      99.9146
     663     -66.7162      91.8087
     664     -70.6285     103.7901
     665     -67.2534      83.7405
     666     -72.0955      86.1079
     667     -74.6167      88.5936
     668     -62.1912      88.8749
     669     -60.8802      88.2325
     670     -84.9521      86.9661
     671     -72.0653      94.4896
     672     -62.8000     100.2537
     673     -71.2609      97.6205
     674     -55.0001      89.6891
     675     -81.1062      94.2167
     676     -58.7774      83.2460
     677     -64.1971      78.9936
     678     -52.7253      81.5485
     679     -55.8897      84.9914
     680     -68.4316      98.8425
     681     -74.9179      71.3839
     682     -70.5801      96.6186
     683     -72.2623     111.5366
     684     -68.0668     105.6123
     685     -67.4393     100.1690
     686     -69.8996     104.8219
     687     -64.8663      95.4269
     688     -78.9386      81.7229
     689     -69.3486     102.5575
     690     -56.2330      90.1304
     691     -67.2782     113.9155
     692     -68.0538     102.9983
     693     -66.0354      84.1174
     694     -75.6117      74.9958
     695     -71.7818      96.3361
     696     -80.5018      76.7667
     697     -68.7288      77.8665
     698     -64.1331      79.4890
     699     -67.0246      97.2775
     700     -81.8262     100.8845
     701     -68.8251     107.6418
     702     -79.7420      96.3250
     703     -72.4409      92.8402
     704     -77.0602      86.8947
     705     -79.2650      91.7050
     706     -78.5348      88.9348
     707     -80.5044      88.5615
     708     -64.4658      71.8066
     709     -71.0557     108.4842
     710     -70.9145      94.6343
     711     -68.7043      90.9978
     712     -74.8782      81.9572
     713     -61.6734      78.7466
     714     -71.4530      92.8860
     715     -68.3526     115.8090
     716     -59.9143     100.4133
     717     -93.2747     111.2638
     718     -58.3435     102.8505
     719     -63.8996     106.9098
     720     -51.3371      92.3727
     721     -57.6104      87.6823
     722     -81.3219      97.9925
     723     -74.9987      99.4945
     724     -68.2661      92.0448
     725     -75.5669      83.4142
     726     -67.7102      90.8700
     727     -67.3809      80.1902
     728     -72.6007      99.4067
     729     -72.7150      95.9558
     730     -68.4351      91.7971
     731     -77.4827     116.0813
     732     -67.1613      81.4736
     733     -87.2454      88.3047
     734     -75.2806     114.3094
     735     -51.2032      82.4978
     736     -83.3680     103.9543
     737     -76.2678      90.1953
     738     -55.4712      78.5640
     739     -78.2889      97.8053
     740     -76.1285     115.4937
     741     -82.4165     107.5787
     742     -71.1970     112.1222
     743     -85.0278     104.5417
     744     -67.5862     111.0310
     745     -76.0259     107.5714
     746     -54.8729      97.6929
     747     -66.9099      88.6530
     748     -68.5447      91.6930
     749     -68.4469     118.1361
     750     -84.3536      88.0622
     751     -66.3100      88.5605
     752     -74.5593     108.4028
     753     -98.0733     114.7986
     754     -76.6492     109.5484
     755     -83.1281      96.6925
     756     -79.7041     101.0681
     757     -74.4607      98.8665
     758     -52.7573      97.6832
     759     -74.1308      99.8876
     760     -68.6091      94.0371
     761     -69.3143     108.2476
     762     -54.3086     102.9580
     763     -78.7529      97.2509
     764     -77.5576      89.3486
     765     -73.0138     107.5501
     766     -84.5385     116.6637
     767     -80.6395     102.1334
     768     -67.4364      97.9035
     769     -75.0711      86.1715
     770     -76.0334     101.2911
     771     -73.4497      99.1608
     772     -83.8716      92.7406
     773     -73.9771      98.9818
     774     -76.7237     109.7285
     775     -69.9187     101.7907
     776     -65.9702      87.8694
     777     -76.7204     107.0558
     778     -91.4123     112.3213
     779     -84.4621     104.0859
     780     -60.0819      86.8393
     781     -77.5901      65.7701
     782     -90.5300      98.9496
     783     -58.9459      81.1738
     784     -84.4526     112.6433
     785     -68.8286      92.9021
     786     -77.0505      91.2328
     787     -66.3915      84.5421
     788     -78.1680      95.6577
     789     -75.8784     109.4859
     790     -84.5646     117.1189
     791     -80.7588      82.1474
     792     -75.5200     103.5541
     793     -83.6959     101.0149
     794     -65.6263      87.3163
     795     -70.7911      85.8162
     796     -72.0689      84.7446
     797     -61.6633     107.6179
     798     -72.6265      90.9517
     799     -45.4426      78.4835
     800     -80.2339      97.1121
     801     -73.7658     106.5153
