#Frame        chi1:32      chi2:32      chi3:32
     164    -169.4370      42.3368     -95.3186
     165     177.3595      55.6804     -97.8365
     166    -169.9453      60.1332     -78.8117
     167    -165.4734      46.4407     -83.7303
     168     176.6936      63.2913    -122.6451
     169     179.1473      59.6107    -102.6349
     170     153.5192      62.7634      31.8245
     171    -163.0234      38.7366      82.8698
     172    -173.7173      61.4894      60.7475
     173    -178.1037      44.4965      82.1770
     174    -148.8459      36.9799      73.6637
     175    -170.4673      47.7240      67.2228
     176    -178.5992      58.5198      95.6594
     177    -177.0301      59.0259      60.8554
     178    -168.9486      63.7985      57.3607
     179    -179.6612      55.3693     -90.1205
     180    -177.6384      58.6689     -92.3388
     181    -170.8633      51.6187    -109.5012
     182     169.7608      62.8479    -101.1088
     183    -167.7428      51.8496     -80.3235
     184     177.9764      64.1370     -89.0601
     185    -168.6510      50.3728    -102.1492
     186    -175.7784      43.6493    -122.4725
     187     178.0694      64.7857     -79.7186
     188    -177.9218      55.2304     -93.7928
     189    -163.2095      51.1635     -92.4051
     190     175.5673      61.6213    -118.2225
     191     177.1464      63.4981     -88.0136
     192    -168.2507      61.3947    -102.2405
     193    -175.8286      67.0824     -86.0465
     194    -175.7911      60.1930     -94.8991
     195    -174.0436      45.9099    -101.7982
     196     178.4994      44.2986      76.3289
     197    -176.8356      76.9707      64.9003
     198     176.5857      59.6304      48.9510
     199    -174.8546      52.0571      78.0919
     200    -174.9837      52.8685      72.9222
     201    -175.4112      64.2333      66.0839
     202    -166.0403      42.2577      77.2278
     203     170.6128      66.3299      77.8377
     204    -157.2224      45.3840      73.9797
     205    -156.5927      30.5292      89.2545
     206    -174.5644      37.7715      69.5703
     207     -81.7511     -57.8504     175.2459
     208     -65.9871     -64.3245     171.7771
     209    -165.6449      49.3633      68.9319
     210    -168.4245      49.7912      55.2094
     211    -173.8356      46.7371      84.7041
     212    -176.3840      61.1849      83.0136
     213    -158.2708      33.1121      79.3193
     214    -165.6481      44.7657      93.5615
     215     -84.3287     -69.0267     179.2589
     216    -170.8751      63.2670      74.7602
     217    -173.2289      51.5714    -104.5853
     218     174.9353      50.9153     -73.9466
     219    -172.8386      49.3737    -103.1605
     220     -69.1058     -45.1173     -34.1513
     221     -77.1175     -69.2775      -9.3550
     222    -167.6012      59.5777    -120.3373
     223    -178.2499      40.5350     -74.4891
     224    -169.2294      38.9104    -111.9310
     225    -174.4856      52.7941     -89.4298
     226     -73.1620     -77.6933     -17.9967
     227     -82.2666     -62.9808     -19.5760
     228     178.6401      64.7877     -79.8036
     229     -62.1912     -67.6898     -26.8753
     230     -65.5514     -49.4374     -42.7217
     231     -76.6455     -56.7780     -39.4965
     232     177.7214      64.7308     -78.4535
     233     -82.4361     -65.0133     -23.9094
     234     -70.5546     -64.0184     -33.3928
     235     -69.6088     -76.4028       1.2370
     236    -162.2886      50.0509     -93.1050
     237    -175.3742      53.5130     -89.1140
     238    -170.4071      51.1287     -97.1653
     239    -171.6412      60.0846     -82.2989
     240    -178.3480      43.2773     -94.8125
     241    -179.0360      62.6165    -104.9944
     242     177.7605      63.9380     -86.2583
     243    -174.6397      45.8252    -100.4144
     244    -172.0739      51.0167     -70.8572
     245    -168.8902      41.3270    -108.5132
     246    -174.8111      57.8870     -90.1286
     247     -73.8723     -63.0432     -27.0409
     248    -171.2938      65.1673    -101.4306
     249     178.8492      58.9655     -84.6032
     250     -83.6409     -37.6018     -30.3631
     251     -85.4479     -58.0764     -56.6252
     252     -99.8570     -48.7927     -24.3616
     253    -164.3542      49.3616      68.0410
     254    -171.7275      55.3200      92.2889
     255    -174.8583      54.7576      82.2512
     256     169.7059      58.6489      64.8443
     257    -170.5227      46.7250      63.1917
     258     -82.4146     -78.8486     174.6172
     259    -172.5004      48.6987      72.4832
     260    -161.0308      39.1039      71.8554
     261    -175.9336      75.6394      33.5597
     262    -176.2924      44.4604      70.1164
     263    -175.8690      48.5313     105.9672
     264    -165.4401      39.2942      98.8513
     265    -177.3737      44.4510      79.6936
     266    -165.2417      40.2792      83.3945
     267     -78.0821     -75.2168    -174.9456
     268     -74.5471     -55.2220     156.2249
     269    -174.5847      58.7619      69.6246
     270    -177.1726      61.7250      74.2649
     271     -70.8228     -57.3914     141.8385
     272    -170.8078      65.3808      64.0953
     273     -76.0738     -61.4794     172.8637
     274     178.5505      64.9613      90.5183
     275     -59.3170     -76.4752    -174.3321
     276    -164.2143      67.9420      83.0426
     277    -172.7789      63.4269      83.8976
     278    -175.7323      56.2202      53.4556
     279    -176.0422      40.2073      81.1001
     280    -176.6939      59.0308      83.6088
     281    -166.7911      49.8840      93.3129
     282     -71.8547     -69.2563     161.6759
     283     -65.7756     -46.2028     172.3725
     284    -176.4315      55.8109      43.6993
     285     175.3526      60.1030      57.9706
     286    -170.2432      40.9683      86.9651
     287    -174.2518      42.9353      76.0808
     288    -168.5241      65.8358      46.1071
     289     174.2481      64.4584      88.6475
     290    -169.6174      41.2007      86.9381
     291    -168.5860      43.2970      67.2234
     292     174.6203      53.6663      57.6720
     293    -174.5890      56.6358      54.1537
     294    -171.3589      45.1514      56.2258
     295    -163.6769      38.6776     102.5133
     296    -177.2495      57.4113      82.6969
     297     178.0917      71.6403      72.4104
     298    -177.9826      45.9800      87.4139
     299     178.5991      50.3379      63.0848
     300    -173.6505      50.4386      71.2033
     301     172.2728      54.4460      66.3942
     302     175.5875      59.3598      82.5020
     303    -171.9758      49.4589      71.7197
     304    -171.3415      37.9396      85.2938
     305     179.7003      53.6364      84.2043
     306    -173.8259      50.3380     109.7179
     307    -177.9406      52.9172      85.1186
     308     -94.3796     -63.0268     -15.7219
     309    -177.8527      57.8228    -105.5977
     310     -75.8174     -70.0715     -38.5269
     311    -167.8126      40.8057     -93.7501
     312    -177.1815      53.1429     -89.2876
     313    -178.2610      54.0701    -100.8434
     314    -160.5606      67.2383    -101.6263
     315    -169.4668      47.9925    -100.1554
     316     179.6348      53.1078     -97.8158
     317     173.2192      62.4685     -86.8892
     318    -168.0594      40.5277    -102.0776
     319    -165.6429      43.9411    -104.4114
     320    -175.0021      52.0399     -90.8454
     321     178.5167      59.5014     -78.9657
     322    -179.4266      57.3987     -76.7794
     323     177.7809      64.5271     -90.1010
     324    -175.5303      58.6622     -97.2765
     325    -174.8589      53.9813     -97.9109
     326    -161.5015      39.5893    -118.4037
     327     -70.1412     -48.0343     132.6190
     328     -79.8064     -69.5131     169.2582
     329     176.6313      56.8108     108.5695
     330    -177.3536      53.6199      85.1976
     331    -165.8698      37.3672     116.4276
     332     179.8501      58.9048      72.7316
     333    -159.4817      53.6189     111.5430
     334     176.3720      61.1540      67.2025
     335     177.3453      57.9345      73.6600
     336    -177.9777      60.4634     104.6126
     337    -169.8779      42.7348      62.8638
     338    -174.4548      59.8300      86.6978
     339    -162.8794      70.3678      62.4854
     340    -166.6926      55.9417      77.3925
     341    -175.1811      57.9579      71.9969
     342    -161.0725      57.5950      84.4303
     343    -170.5861      51.5826     108.6791
     344     -81.3060     -64.7808     160.9717
     345     -84.5517     -61.7505     -28.2032
     346     -79.3215     -58.9711     -26.5182
     347    -168.5145      54.1784     -93.3194
     348    -177.6543      48.8116    -116.3223
     349     177.8487      59.7179     -84.8038
     350    -177.3916      64.5090     -90.2098
     351    -167.5958      45.9635     -77.4178
     352     -80.6856     -64.5990     -28.2382
     353    -157.1767      52.4603    -105.9206
     354    -179.6771      69.5090     -84.7274
