Using WEST data from '/scratch/09416/dty7/d1d2/2kod/ls6-we/wt_mmab_1d_ss_v00/west.h5'
# successful (recycled) segments
# column 0:    iteration
# column 1:    seg_id
# column 2:    weight
# column>2:    final progress coordinate value
     226         127      3.016371326903e-14            9.4426            3.9994
     227         120     5.0272855448383e-15            7.6143            4.7058
     228           3     3.6196455968914e-14             6.602            4.7648
     228          10     8.3788092413972e-16             9.421            4.9922
     228         116     1.2065485322971e-14           11.7338            4.7954
     228         118     1.2065485322971e-14            6.7607            4.7842
     228         146     2.5136427724191e-15            9.0858            4.9124
     228         150     2.5136427724191e-15            9.6338            4.9161
     228         154     2.5136427724191e-15            4.7393            4.9818
     228         159     1.6757618482794e-15            9.7301            4.8625
     228         172     8.3788092413972e-16            9.5991            4.8224
     229           4     9.2502054117181e-14           10.1155            4.9798
     229         133     1.6757618482794e-15            7.5681            4.7677
     229         143     2.5136427724191e-15           10.3727             4.748
     230         109     1.0054571102476e-15            7.6705            4.8539
     230         113     1.0054571102476e-15            6.6933             4.977
     230         138     2.3739959517292e-15            8.1118            4.9466
     230         142     1.6757618482794e-15           10.8401            4.8447
     230         154     1.5361150275895e-15           10.8838            4.9355
     230         155     2.5136427724191e-15            9.5265            4.7719
     230         156     2.3274470114992e-17            6.6766            4.8341
     231         111     6.7030474016507e-16            8.3851            4.9363
     231         113     6.7030474016507e-16            10.492            4.8164
     231         127     9.3097880459968e-17            9.6499            4.8119
     231         148     2.5136427724191e-15             5.661            4.7171
     231         155     6.9823410344976e-16           11.8459             4.777
     231         161     8.3788092413972e-16            4.9052            4.9544
     231         171     1.9382978729685e-14            6.6727            4.7587
     231         173     1.9382978729685e-14            3.7924            4.9483
     232           7     3.3515236965589e-16           10.2039            4.9631
     232         126     1.3964682068995e-16            6.8337            4.7662
     232         138     1.1171745655196e-15            9.6932            4.9579
     232         141     1.6796409266319e-15            5.8053             4.737
     232         144     5.4462260069082e-15            6.3844            4.8763
     232         150     9.6914893648423e-15            6.9478            4.7563
     233           6     8.0762411373686e-16            8.4814            4.9136
     233           9     8.0762411373686e-16            8.9533             4.705
     233         117     9.3097880578482e-18           11.0385            4.8848
     233         118     9.3097880578482e-18           10.0163            4.8131
     233         148     1.8070298606239e-15            6.3945            4.8086
     233         150     3.2304964549474e-15           10.1818            4.7276
     233         154     1.6711069558208e-15            2.8798            4.8529
     233         155     1.6152482274737e-15            9.2506            4.8583
     233         159     2.3274470114992e-17            7.3282            4.6712
     233         160     2.3274470114992e-17            7.5343            4.8649
     233         172     5.3841607582457e-16            8.3216             4.797
     234          10     3.8806299863996e-16           11.2626            4.9626
     234         119      5.958264349912e-16           10.8424            4.7097
     234         147     1.6152482274737e-15            6.9553            4.8907
     234         150     1.7413958544517e-15            6.7912            4.7986
     234         153     1.8070298606239e-15           11.0169            4.8597
     235         112     6.9854443028683e-15             8.264            4.9528
     235         117     9.9304405831867e-17            9.9835            4.8823
     235         119     9.9304405831867e-17          9.415401            4.9239
     235         146     4.0109670164836e-16            3.9124            4.7747
     235         156     5.4601619550634e-17            5.9639            4.8017
     236         108     1.0462017987048e-16            9.7152            4.7477
     236         133     4.3534896361292e-16            6.2837            4.8046
     236         152     3.9868305315248e-16            6.5161            4.8939
     236         156     9.1002699251057e-18            6.6349            4.8621
     236         175     5.7841368322814e-17            6.9958            4.7206
     237         136     6.2453161475229e-16           10.5226            4.9545
     237         137     3.5749586099472e-16            7.1318             4.835
     237         149     5.9155944875605e-16            7.7054            4.7901
     237         167     1.5167116541843e-18            3.2282            4.7285
     238           8     1.1831188975121e-16            9.2015            4.6929
     238         114     1.6632147073367e-17           10.4382            4.8154
     238         119     1.6632147073367e-17             11.28            4.8554
     238         127      3.695765084693e-15           11.2985            4.8514
     238         151     4.2590972945371e-15            5.4332            4.8247
     238         153     4.2590972945371e-15            7.4413            4.7545
     238         154     7.3920869265399e-15            3.8644            4.6789
