#Frame        chi1:41      chi2:41
       1    -178.9132      85.9829
       2     164.0289      81.6752
       3     160.7480      96.6864
       4    -163.0497      63.5755
       5     166.1451      79.8775
       6     170.3511      81.4345
       7     -73.8741      93.7511
       8     167.2990      89.6157
       9     -79.8212     106.6183
      10     -73.1659     103.7833
      11     -70.7002      87.3170
      12     -75.9685      81.2571
      13     163.9559      83.2568
      14     -77.1744     100.8861
      15     168.1565      94.0076
      16     -66.3210      80.1503
      17     161.1007      80.7702
      18    -174.4033      85.4560
      19     -85.4662     100.6127
      20     179.3920      88.2945
      21     -80.9085      94.8918
      22     -77.1689     109.6048
      23     163.2374      86.8220
      24     -59.7274      96.5387
      25     172.3614      85.3291
      26    -178.1001      84.8332
      27     167.6101      80.7450
      28    -169.9882      87.0119
      29    -177.6991      95.4574
      30     164.7008      99.8899
      31     -83.5391     114.1370
      32     158.7075      87.9623
      33     164.7108      97.7391
      34     175.6791      64.9102
      35     177.6152      79.9530
      36     167.2432      89.0257
      37     171.4818      86.4559
      38     178.0561      89.1533
      39     171.1508      97.4950
      40    -159.0540      88.0705
      41     175.4437      97.2408
      42     165.0123      85.1189
      43     174.4371     100.6678
      44     170.3744      90.3235
      45    -162.7051      66.8074
      46     161.4535      81.3057
      47     155.3795     105.7305
      48     156.6366     103.7168
      49    -172.5888      74.1301
      50     -82.9204      97.6389
      51     173.8489      83.1910
      52     -81.7303     112.7357
      53     160.9064      76.7238
      54     165.4129     101.7601
      55     171.9611      83.2570
      56     172.7525      97.6904
      57    -178.3238      86.1676
      58     -89.0686     100.2807
      59     161.6114      86.0751
      60     164.9402      91.4639
      61     175.5463      91.7112
      62     162.8457      86.3252
      63    -161.3410      86.6878
      64     166.4273     101.1408
      65     -80.1977     101.7240
      66     168.0956     102.1521
      67     174.4358     105.5701
      68     -90.0314     102.3124
      69    -171.9422      79.5315
      70    -172.9838     101.8977
      71     170.6387      85.3637
      72    -173.8960      72.1992
      73     170.7614      93.0651
      74     163.2154     101.8947
      75     164.6349      86.8819
      76     176.9922      80.7857
      77     168.5499      79.0865
      78     175.7963      83.6453
      79    -171.0105      88.6100
      80     169.4332      81.7732
      81    -169.1499      73.8084
      82     175.6048      81.4416
      83     -70.9953      85.8155
      84     167.8214      87.2655
      85     163.3455      94.8042
      86     171.5678      93.3667
      87     154.0137      72.6666
      88     168.3657      76.2302
      89    -177.0953      84.7472
      90     -75.3130      88.2180
      91     166.9030      96.5691
      92     -79.4602     109.6360
      93     179.4575      78.9078
      94    -173.0721      70.1485
      95     -70.9660     104.8744
      96     168.8669      92.6256
      97     -71.0097     119.8600
      98    -171.0761      82.3811
      99     -68.8163      98.9368
     100    -167.5807      72.8400
     101     -67.9870     103.0316
     102    -178.6062      93.4952
     103     -79.5060     109.7108
     104     -73.5420     103.7636
     105     176.6822      84.1422
     106     178.3401      72.6565
     107     168.5687     102.9982
     108     -83.8463      91.6913
     109    -167.9456      70.3140
     110     -69.8772      85.9978
     111     -75.3557     103.8948
     112     169.1004      81.8289
     113     163.4734      74.4022
     114     177.1097      81.9498
     115     174.7040      84.9031
     116     171.2231      92.3203
     117     154.3631      77.1053
     118     162.6759      93.8901
     119     176.4123      96.0868
     120     177.2493      77.6903
     121    -177.7380      71.0271
     122     175.4624      77.8878
     123     -76.9988      85.3607
     124     165.2203      97.8167
     125     -85.3613      84.5867
     126     -61.0110      87.0619
     127    -173.7588      75.8702
     128    -167.3478      72.6038
     129     -91.5167     103.6872
     130     163.8377     101.2352
     131     156.6283      90.1935
     132     164.0819      86.4822
     133     -75.1536      81.1428
     134     170.0907      95.5616
     135     166.0980      95.9141
     136    -168.1536      88.5697
     137     174.4796      91.3258
     138     -80.8209      98.6081
     139     -75.0776     122.5658
     140     170.7041      93.2584
     141     173.6845      96.6006
     142     155.1743      78.6584
     143     160.5984     102.3991
     144     -85.6363      99.1338
     145     -85.5278     108.0329
     146    -178.5383     102.9297
     147     157.0283     100.2248
     148     158.6355     106.2108
     149     -71.5200      91.0013
     150     166.7938      91.0236
     151     160.8456     112.2976
     152     162.2111      82.6790
     153     161.8493     112.5681
     154    -173.4851      79.3035
     155    -176.5301      86.0388
     156    -171.3204      71.5292
