#Frame       chi1:129     chi2:129
       1     -65.6741      93.9515
       2     -58.2948      91.4320
       3     -65.5945     109.9743
       4     -62.6288      94.2467
       5     -63.3694      98.6351
       6     -65.4403      99.4551
       7     -78.0910     108.0742
       8     -66.3150      90.6330
       9     -61.9287     102.4609
      10     -70.9659      80.7408
      11     -63.5527      94.9575
      12     -59.1821      83.6829
      13     -70.6021      89.2351
      14     -62.6291      95.3914
      15     -69.9301      89.5987
      16     -63.5426      82.8215
      17     -59.6867      83.5488
      18     -77.3139      96.6365
      19     -72.0433      96.2820
      20     -64.8562      97.6506
      21     -66.2570      87.1350
      22     -59.7448      91.4485
      23     -64.6504      87.8736
      24     -62.4447      85.1963
      25     -63.9539      83.7402
      26     -64.8092      93.6734
      27     -61.5627     100.8711
      28     -62.8566      95.7296
      29     -59.2953      95.1552
      30     -60.6891      94.5042
      31     -59.1131      85.3232
      32     -65.7294      93.5608
      33     -53.7318      90.7097
      34     -67.6917      94.2206
      35     -68.7539     106.6136
      36     -66.3358      85.4171
      37     -63.3374      88.7682
      38     -51.9256      80.2790
      39     -55.9835      89.0527
      40     -63.6271      93.9264
      41     -71.3806      89.6048
      42     -69.9081      84.0576
      43     -55.2778      80.1527
      44     -62.2009      92.4054
      45     -71.4879      90.4477
      46     -44.6754      69.2330
      47     -72.3070      81.1066
      48     -60.8508      83.1363
      49     -66.6419     103.5604
      50     -57.9926      80.1604
      51     -78.3174      97.0248
      52     -68.2417      86.7654
      53     -75.0182      85.3414
      54     -57.2443      61.9483
      55     -65.0511      91.9649
      56     -67.7746      76.5072
      57     -61.8454      86.3619
      58     -70.7555      94.5566
      59     -75.2259      94.0566
      60     -79.0681      75.5540
      61     -66.5491      86.2643
      62     -73.7950      82.9348
      63     -65.8799      72.4642
      64     -70.7828      78.1254
      65     -66.2138      83.8797
      66     -54.5465      83.1701
      67     -70.6865      85.9852
      68     -71.3321      90.9799
      69     -59.5023      93.4917
      70     -64.9716      84.2626
      71     -70.9545      96.4815
      72     -73.5806      94.1315
      73     -66.2975      71.9096
      74     -77.4840      73.1547
      75     -77.6254      80.9529
      76     -77.1930      85.8590
      77     -81.8007      93.4968
      78     -76.1285      83.1793
      79     -79.8822      97.7438
      80     -66.9776      78.5200
      81     -82.8721      91.7829
      82     -81.1659      94.8812
      83     -67.0080      82.6727
      84     -71.2982      87.0188
      85     -65.7553      87.2950
      86     -75.0933      89.0107
      87     -70.2740      92.3683
      88     -73.7359      74.0431
      89     -74.3101      87.3305
      90     -70.3756      82.5140
      91     -71.9152      99.1116
      92     -74.9110      87.1784
      93     -80.9562      92.7191
      94     -77.1441      79.5180
      95     -72.2098      89.2074
      96     -81.5640      82.8964
      97     -73.2371      89.2472
      98     -71.0905      89.9462
      99     -65.0557      86.1652
     100     -81.9310      86.1417
     101     -68.4298      87.7848
     102     -72.4908      84.4670
     103     -72.7317      86.7620
     104     -77.7521      82.6301
     105     -70.0365      91.5567
     106     -83.4443     108.3913
     107     -85.0209      91.3717
     108     -65.4669      89.1627
     109     -69.0403      80.6956
     110     -75.2660      95.4339
     111     -79.9577      91.6799
     112     -65.6298     104.6244
     113     -75.4949      89.4109
     114     -73.6234      94.4348
     115     -65.4483      97.7467
     116     -81.5650      94.2228
     117     -55.5283      99.4671
     118     -68.1941      94.5950
     119     -70.0489      92.8741
     120     -68.2569      88.5065
     121     -77.5142     100.4441
     122     -68.6752      87.3450
     123     -71.1853      92.1641
     124     -67.7963      77.5070
     125     -80.3117      83.9993
     126     -83.5135     101.7400
     127     -74.9979      88.5882
     128     -80.0238      80.0911
     129     -72.1172      83.4905
     130     -81.7685      95.8462
     131     -72.0144      82.0097
     132     -77.9602      83.0673
     133     -81.7129     110.6495
     134     -76.8836      85.7809
     135     -79.9071      73.1401
     136     -80.5560      79.5905
     137     -75.8396      88.0384
     138     -76.5211      86.2421
     139     -75.1388      95.3664
     140     -78.2454      90.0413
     141     -75.3118      84.2062
     142     -78.1612      93.8971
     143     -74.0540      94.1666
     144     -80.6138      94.0762
     145     -73.1240      76.0420
     146     -64.9726      89.5572
     147     -85.2982     100.4684
     148     -70.9130     111.4221
     149     -71.0485      89.0293
     150     -78.0946     104.2896
     151     -75.8565      84.6701
     152     -77.2959      95.7418
     153     -82.3607      95.7372
     154     -78.1896     100.7994
     155     -80.1825      84.8109
     156     -85.0789      86.3839
     157     -74.3243      78.7621
     158     -74.8766      90.8412
     159     -87.6892      92.2292
     160     -66.3531      77.3230
     161     -74.3242     105.4637
     162     -73.8709     101.3855
     163     -68.7969      91.5851
     164     -75.1220      92.0173
     165     -69.0966      79.7286
     166     -76.1438      93.0454
     167     -76.9101      98.1274
     168     -66.4010      85.5150
     169     -73.1719      88.4856
     170     -70.8747      98.6598
     171     -75.5917      92.2918
     172     -84.1304      92.9690
     173     -87.5606      86.6933
     174     -74.4704      86.6696
     175     -49.8279      94.0956
     176     -88.9651     108.5369
     177     -76.5312      99.1287
     178     -72.9877      89.2717
     179     -64.4750     105.0085
     180     -62.7030      93.7818
     181     -73.1812      99.1685
     182     -57.9173      97.5055
     183     -58.4002      83.6282
     184     -71.6764      88.1446
     185     -78.4572      91.9957
     186     -70.6588      95.6940
     187     -69.7444      84.7087
     188     -67.4941     102.8624
     189     -84.3955     100.2338
     190     -86.3992      90.6817
     191     -75.9588      78.5827
     192     -78.8889      91.9720
     193     -84.2407      83.0765
     194     -81.7133      88.5881
     195     -73.5528      91.9205
     196     -81.2279      84.8260
     197     -72.9043      89.7705
     198     -73.3478      95.7492
     199     -74.2868      89.3020
     200     -79.9708      96.2767
     201     -76.9841      84.6521
     202     -89.3217     111.6230
     203     -94.2579      91.1305
     204     -85.6559     100.9135
     205     -85.9561      90.8831
     206     -81.1676     102.4657
     207     -92.8279      94.8562
     208     -73.4717      93.9296
     209     -81.7831     102.8879
     210     -71.4330      90.2692
     211     -73.2132     102.4412
     212     -72.8375      86.8408
     213     -83.2698      92.9777
     214     -77.5911      88.1975
     215     -77.3576      84.4186
     216     -74.4901     100.3695
     217     -73.4310      91.6341
     218     -79.1959      97.7894
     219     -74.0978      92.9503
     220     -82.3657      88.1135
     221     -82.9040      93.5669
