#Frame            RoG      RoG-cut
       1      17.8552      16.6998
       2      17.8523      16.6391
       3      17.7204      16.5038
       4      17.7747      16.5497
       5      17.7122      16.3921
       6      17.8885      16.5187
       7      17.5357      16.2491
       8      17.7510      16.5372
       9      17.4858      16.1974
      10      17.5716      16.2337
      11      17.9020      16.5318
      12      17.6416      16.4383
      13      17.3453      16.1516
      14      17.1069      16.0341
      15      17.3970      16.2525
      16      17.0520      15.9251
      17      17.1647      16.1496
      18      17.1549      16.0907
      19      17.1638      16.0044
      20      17.3038      16.1667
      21      17.5326      16.2457
      22      17.3248      16.0908
      23      17.8300      16.5114
      24      17.3855      16.2989
      25      17.0464      16.0103
      26      17.2039      16.1395
      27      17.2952      16.2243
      28      17.2359      16.2275
      29      17.4687      16.4044
      30      17.4975      16.3067
      31      18.0165      16.7288
      32      17.6745      16.4168
      33      17.3331      16.2768
      34      17.3807      16.2311
      35      17.3396      16.2774
      36      17.3760      16.3344
      37      17.3419      16.2451
      38      17.3569      16.2763
      39      17.1450      16.2578
      40      17.3240      16.3377
      41      17.3060      16.2449
      42      17.5550      16.4625
      43      17.4603      16.3689
      44      17.4943      16.3993
      45      17.3364      16.3249
      46      17.3451      16.2793
      47      17.6940      16.4047
      48      17.5688      16.2998
      49      17.6498      16.1808
      50      17.4068      16.0469
      51      17.7311      16.3841
      52      17.4964      16.2037
      53      17.9922      16.4028
      54      17.9122      16.3653
      55      17.9548      16.5954
      56      17.6228      16.3661
      57      17.9358      16.6406
      58      17.6199      16.4396
      59      17.6499      16.3838
      60      17.6811      16.4813
      61      17.2986      16.1732
      62      17.7313      16.3878
      63      17.7186      16.3474
      64      17.9274      16.5712
      65      17.7626      16.5343
      66      17.6048      16.3623
      67      17.6605      16.5446
      68      17.6357      16.3593
      69      17.7178      16.4855
      70      17.7671      16.4930
      71      17.4997      16.2619
      72      17.8612      16.5408
      73      17.9260      16.6139
      74      18.3387      16.9339
      75      17.5955      16.3747
      76      18.0493      16.7412
