#Frame     o_angle_m1   o_angle_m2
       1      43.7482      36.9514
       2      39.3353      39.1047
       3      40.3873      34.9473
       4      39.8621      34.5793
       5      39.8069      33.0362
       6      42.5945      35.0349
       7      39.2503      34.1463
       8      40.4269      36.8701
       9      40.0605      37.2300
      10      41.0202      35.4832
      11      40.2187      38.0522
      12      42.7885      36.4533
      13      41.5918      36.8746
      14      39.6453      35.8613
      15      40.6610      38.0579
      16      39.7719      36.7644
      17      38.4258      37.2955
      18      40.2549      39.7243
      19      40.3541      38.9586
      20      41.1718      35.1574
      21      40.3078      36.3114
      22      37.7453      34.9215
      23      39.8132      35.0132
      24      41.9224      35.0315
      25      38.9669      32.0404
      26      39.0444      33.3048
      27      39.0968      32.1636
      28      40.5933      33.1998
      29      40.7348      34.5860
      30      38.2990      35.3350
      31      41.3700      36.7876
      32      37.4954      32.6937
      33      38.8594      34.9187
      34      38.4812      35.5324
      35      37.1381      35.0012
      36      38.4537      33.5475
      37      41.4220      34.0526
      38      40.4823      31.2968
      39      41.0260      33.4216
      40      42.9212      36.1435
      41      42.0445      34.4629
      42      41.0278      33.2143
      43      41.5303      33.7091
      44      40.5425      35.1548
      45      40.8191      33.1716
      46      40.5921      35.5198
      47      39.2920      34.7436
      48      38.9969      35.7049
      49      39.6650      35.5509
      50      39.6566      34.1429
      51      41.3751      36.1136
      52      40.0485      35.8673
      53      42.5916      37.2046
      54      38.7635      36.6696
      55      40.4493      36.7979
      56      40.7986      34.3267
      57      41.0291      34.5509
      58      39.6966      35.3628
      59      41.7005      35.4988
      60      41.9528      35.8497
      61      39.8674      35.6932
      62      37.4880      33.7251
      63      41.5655      34.6960
      64      39.3940      33.0658
      65      40.4751      34.4615
      66      39.6119      35.1507
      67      41.3159      33.7642
      68      42.7118      36.4096
      69      40.6748      33.7635
      70      40.7878      34.3822
      71      38.6860      34.4717
      72      37.6402      35.1682
      73      38.5860      35.9208
      74      39.4353      36.7753
      75      39.0896      33.0992
      76      39.2786      35.6441
      77      42.0876      34.3370
      78      40.4739      34.5517
      79      40.3692      34.8247
      80      43.7950      35.0939
      81      41.3281      34.9672
      82      40.5581      33.0047
      83      43.2260      36.8164
      84      40.3382      33.4185
      85      43.9555      34.0734
      86      42.3511      34.5794
      87      39.8969      31.7170
      88      42.4201      37.6100
      89      40.9163      35.1410
      90      42.4467      38.2499
      91      43.3155      36.1773
      92      40.2587      34.9728
      93      40.3221      33.8188
      94      44.5227      37.5221
      95      40.3171      33.7469
      96      39.6207      35.7473
      97      40.2798      39.1619
      98      39.3322      36.2831
      99      39.4749      36.5236
     100      39.1452      34.4570
     101      39.9577      34.9324
     102      40.1354      35.2165
     103      39.4961      35.3287
     104      38.7032      36.8079
     105      40.9706      38.5078
     106      40.3303      34.9035
     107      42.0719      38.0143
     108      40.4445      38.0682
     109      44.4333      38.2553
     110      43.6542      36.6295
     111      43.3750      33.1806
     112      38.5113      34.4570
     113      43.1151      34.4536
     114      44.6111      36.2940
     115      41.3415      35.3799
     116      41.5435      34.4737
     117      38.2774      34.2207
     118      38.6074      32.3701
     119      40.7178      32.1853
     120      41.4340      33.6739
     121      38.1696      33.9724
     122      37.8527      36.3220
     123      37.4316      34.9451
     124      39.4197      34.2357
     125      39.4055      34.6982
     126      40.4191      34.0843
     127      39.9411      33.8715
     128      40.2585      35.5268
     129      38.4489      35.4110
     130      38.6326      33.8168
     131      35.3852      34.8014
     132      37.5661      34.0917
     133      39.7589      34.0399
     134      40.6166      34.3117
     135      39.9642      34.0208
     136      41.2634      36.1285
     137      41.3447      36.2646
     138      41.8829      38.0684
     139      40.2216      34.7149
     140      41.7696      38.5759
     141      39.3899      34.7915
     142      40.8815      35.8677
     143      39.5267      36.2758
     144      41.4484      35.7417
     145      40.6613      32.3799
     146      40.7458      35.3311
     147      39.2336      34.9046
     148      38.0863      33.6103
     149      37.3806      32.8414
     150      38.6294      32.8456
     151      37.3952      33.1339
     152      38.4688      32.7729
     153      39.2583      32.3563
     154      40.5249      35.6829
     155      37.4916      30.4480
     156      35.6056      29.3647
     157      35.1294      30.4827
     158      34.9259      30.6821
     159      35.5541      30.7697
     160      35.4195      31.3594
     161      34.7441      30.1348
     162      32.6426      29.8089
     163      34.2022      30.1930
     164      35.5001      31.5780
     165      35.2354      30.6715
     166      33.2302      30.0291
     167      34.9931      30.6040
     168      32.9579      29.6051
     169      35.7653      31.5118
     170      34.8179      31.1057
     171      33.3437      30.0593
     172      35.2979      32.8454
     173      33.2983      31.1788
     174      35.5937      32.1511
     175      37.5817      32.6753
     176      36.8491      32.4665
     177      37.2805      31.3259
     178      39.5778      33.3817
     179      37.5998      31.1643
     180      38.3475      31.0231
     181      35.2608      29.2749
     182      34.8869      28.7921
     183      35.2997      33.0650
     184      34.9494      32.6683
     185      38.1004      34.9470
     186      37.6390      34.6803
     187      35.7658      34.0436
     188      35.5002      34.0860
     189      35.5885      36.5029
     190      36.5253      34.2080
     191      33.5349      35.2267
     192      33.7245      35.1164
     193      35.8451      36.0612
     194      34.9977      34.3363
     195      34.6945      35.2530
     196      35.1320      36.1637
     197      33.4956      35.4164
     198      35.9941      34.5760
     199      35.5959      33.5605
     200      34.4043      31.4486
     201      34.3060      34.2919
     202      33.5104      35.7559
     203      34.5743      37.0928
     204      33.8055      35.7698
     205      35.3889      36.7940
     206      33.8775      34.2062
     207      36.1933      35.0242
     208      33.8318      36.7345
     209      33.3206      35.4318
     210      34.7752      34.2604
     211      34.5871      35.0621
     212      34.5360      34.2826
     213      33.2765      32.7212
     214      32.1649      33.9413
     215      33.8521      33.5643
     216      32.8920      32.6054
     217      33.8216      32.1268
     218      36.9443      32.5195
     219      35.1681      32.0587
     220      36.3926      31.6567
     221      36.7113      30.4129
     222      35.7930      31.3202
     223      34.8139      31.1607
     224      36.2554      31.3088
     225      34.9021      31.1619
     226      35.3827      33.1063
     227      32.5132      29.9060
     228      33.9620      31.5086
     229      35.6216      32.7770
     230      33.6734      33.8431
     231      33.2309      31.2845
     232      34.7002      34.2435
     233      36.5397      33.9094
     234      35.1913      32.9098
     235      34.0100      31.5662
     236      34.9318      32.9950
     237      34.8830      31.7892
     238      35.2578      31.5983
     239      35.5058      34.5541
     240      37.6264      35.7945
     241      39.4742      36.9803
     242      36.8209      36.2035
     243      36.9973      36.1082
     244      37.1529      33.8897
     245      39.3244      37.2208
     246      35.6646      33.4448
     247      38.9491      35.1348
     248      35.8883      34.0053
     249      38.0677      33.2425
     250      36.8209      32.2685
     251      37.9562      32.8067
     252      38.8654      32.8140
     253      37.2266      31.2832
     254      37.5341      31.3957
     255      36.1154      31.7780
     256      37.3747      31.0540
     257      36.1556      31.5620
     258      35.3573      31.9074
     259      33.3402      29.8820
     260      34.2134      29.5489
     261      35.9008      32.0065
     262      35.4319      31.3758
     263      36.1973      33.0286
     264      32.9552      29.5498
     265      35.9433      33.1352
     266      35.5922      31.9051
     267      33.6640      28.5271
     268      34.1441      32.8897
     269      34.4513      31.8351
     270      35.0824      30.5654
     271      32.0623      30.0192
     272      33.9015      30.6452
     273      34.2694      29.4651
     274      31.8881      29.5836
     275      33.5067      27.7639
     276      32.4118      29.4434
     277      31.3293      28.1340
