Using WEST data from '/ix/lchong/dty7/d1d2/2kod/ls6-we/4f_mmab_1d_ss_v00/west.h5'
# successful (recycled) segments
# column 0:    iteration
# column 1:    seg_id
# column 2:    weight
# column>2:    final progress coordinate value
     663         110     6.7975118852883e-32           11.9906            4.9247
     664           8     6.7975118852883e-32           11.4248            4.9042
     666         136      9.440988729567e-34           10.1792            4.9197
     673           0     9.7129513678673e-37           11.9595            4.8908
     676         133      4.496736744383e-39           11.0934            4.9377
     677         133     7.4945612406384e-40           11.3034            4.9732
     677         148     7.4945612406384e-40           10.2302            4.9789
     677         152      4.496736744383e-39           11.3703            4.8829
     677         154      4.496736744383e-39           10.8205            4.9124
     678         128     1.2490935401064e-40             11.38            4.8439
     678         143     7.4945612406384e-40           10.5621            4.8518
     678         147     2.4981870802128e-40           10.6144            4.8133
     678         151     1.2490935401064e-40           10.1954            4.8813
     678         178      4.496736744383e-39            10.795            4.8096
     679         158      6.245467700532e-41            8.7439            4.9604
     680           7     2.9978244962553e-39           10.9773            4.8505
     680         143     2.4981870802128e-40            10.584            4.8348
     680         147      8.327290267376e-41            9.5925            4.8213
     680         148      8.327290267376e-41           11.6925            4.9296
     680         163      4.163645133688e-41           11.4413            4.8297
     680         172     1.6654580534752e-40           10.9211            4.8764
     680         173     1.6654580534752e-40           10.7141            4.9093
     681         154     1.3115482171117e-39           10.4055            4.8239
     681         161      4.684100775399e-40            9.5642            4.9434
     681         163     1.1565680926911e-42            7.0207            4.8868
     681         179     4.9963741604256e-40            8.1361            4.9602
     682         105      8.327290267376e-41           11.2087            4.9958
     682         149     3.2788705427793e-40            11.535            4.9034
     683           1     4.9963741604256e-40            7.9037             4.759
     683          11     1.3427755556144e-39           10.5987            4.7124
     683         113     1.3878817112293e-41          9.031199            4.7865
     683         135     1.4873465672008e-40            9.9119             4.869
     683         145      4.163645133688e-41             7.839            4.7669
     683         150     2.4981870802128e-40            7.5789            4.7721
     683         153     2.1859136951862e-40           10.6061            4.8516
     683         154     2.4981870802128e-40           10.0654            4.7701
     683         157     3.2126891463642e-44            3.8671            4.8164
     683         166      3.643189491977e-41            8.8397              4.86
     683         168     1.3878817112293e-41           11.8261             4.779
     684         111      3.643189491977e-41            7.6697            4.9978
     684         117     2.3131361853822e-42           11.1291            4.9102
     684         148     1.6828065748656e-40            11.422             4.987
     684         170     6.2255490278245e-41           11.0437            4.8825
     685         103     5.6093552495519e-41            9.6911            4.9236
     685         111       5.20455641711e-41            11.683            4.8507
     686           7     4.2687000687741e-40           11.8245            4.9593
     686         115     2.5107165678836e-41           10.9414            4.9457
     686         119     2.5107165678836e-41           10.8213            4.9261
     686         132     3.1111681693391e-40            10.074            4.9566
     686         145     9.1873914056406e-41           10.1356            4.9471
     686         147     1.0026438721033e-40           11.8749            4.8075
     686         161     1.4873560862797e-46            3.9371            4.8413
     686         167     3.7813351252706e-42             9.066            4.8214
     686         170     1.6866618018412e-43            8.4283            4.9515
     686         172     1.6866618018412e-43            7.2929            4.8832
     686         177      1.561366925133e-41           11.1572            4.9163
     687         115     5.1852802822318e-41            7.9098            4.9939
     687         134     1.5563872569561e-41          9.616699            4.9056
     687         164     2.4789268104662e-47             5.419            4.9422
     687         181     7.1145001146235e-41          9.242701            4.9027
     687         182     7.1145001146235e-41          9.487101            4.9118
     688         133     2.0592602674288e-41           11.9818            4.9624
     688         143     1.0671750171935e-40           11.3937            4.8615
     688         144     7.7127053126033e-41            9.0694            4.9551
     688         156     4.1315446841103e-48            2.2702            4.9486
     688         157     4.1315446841103e-48            4.0798            4.8188
     689         106     7.8086194529685e-46            8.3906            4.8691
     689         135      2.134350034387e-41           11.6958            4.8941
     689         138     8.3690552262787e-42           11.3889            4.9268
     689         148      6.977719874217e-41           10.8755            4.9953
     689         156     6.8859078068505e-49            5.0384            4.8222
     690         154     4.3552862058656e-41            8.3708            4.9789
     690         158     1.1476513011418e-49            5.2583            4.8731
