#Frame     o_angle_m1   o_angle_m2
       1      33.2866      39.1664
       2      36.1825      38.2458
       3      37.5360      38.7166
       4      37.1613      39.6859
       5      36.8391      40.0929
       6      33.3266      38.7239
       7      36.5828      41.6577
       8      37.9692      38.3843
       9      38.6617      39.6326
      10      36.9654      38.6988
      11      35.1345      36.0803
      12      35.4111      39.9515
      13      35.3051      35.6629
      14      37.7513      38.6723
      15      39.2762      40.6143
      16      39.6910      40.4060
      17      36.4783      38.6205
      18      37.9414      37.5577
      19      34.3832      40.4288
      20      35.6620      39.2885
      21      34.8026      41.6783
      22      37.5195      38.3964
      23      34.6123      34.2476
      24      40.2732      31.4314
      25      38.6033      34.7856
      26      40.0527      37.0128
      27      37.6353      34.6789
      28      35.6623      34.1247
      29      40.1132      38.8676
      30      37.6603      35.5687
      31      38.4550      34.6870
      32      36.8493      33.7215
      33      41.0007      33.3490
      34      39.6992      33.4703
      35      40.0652      34.4086
      36      39.6001      31.3600
      37      42.2722      32.9314
      38      36.9298      37.5135
      39      39.3434      37.2877
      40      40.2123      31.2988
      41      41.8488      32.4579
      42      39.5276      30.6519
      43      39.9105      34.5521
      44      38.4897      39.2122
      45      39.7843      38.5376
      46      36.8553      37.5011
      47      35.4577      32.5876
      48      33.8228      33.3877
      49      35.3145      35.6485
      50      36.2886      38.6912
      51      35.0725      34.9941
      52      35.8588      33.7159
      53      35.4072      32.9659
      54      35.7684      35.3550
      55      35.4242      30.8417
      56      37.7446      31.8167
      57      38.1525      30.9421
      58      33.8453      31.4055
      59      40.7621      34.5651
      60      36.0045      33.4682
      61      35.8786      33.5483
      62      36.4907      35.6123
      63      38.8662      37.2631
      64      35.8202      34.2312
      65      38.4610      36.1330
      66      37.1972      36.5121
      67      37.2529      37.3811
      68      38.1624      37.6766
      69      36.6316      36.9860
      70      35.1731      33.5237
      71      36.9491      33.7772
      72      34.2611      34.0098
      73      35.4149      34.6811
      74      33.3500      34.8046
      75      33.5033      28.2685
      76      36.1303      38.4997
      77      40.0879      34.9480
      78      37.7167      32.6435
      79      37.3572      32.3955
      80      38.9593      34.9946
      81      38.4448      35.8576
      82      36.9510      35.7273
      83      37.5883      34.6942
      84      38.8524      39.6500
      85      36.1356      40.3882
      86      39.4915      37.5078
      87      36.2930      42.2109
      88      34.7733      42.5061
      89      38.2221      37.7861
      90      34.7378      41.6129
      91      37.0707      38.2060
      92      37.6461      42.6264
      93      38.5171      44.1082
      94      34.4477      41.6479
      95      35.3999      39.5147
      96      35.8185      38.2961
      97      34.5336      39.7216
      98      37.9801      38.0311
      99      40.9953      38.7082
     100      41.6652      34.8405
     101      41.3185      37.9007
     102      42.6037      41.2726
     103      41.2746      45.2719
     104      40.1338      40.1963
     105      45.2493      41.9682
     106      42.8377      41.5185
     107      38.9280      33.5966
     108      41.8320      35.1612
     109      39.5538      34.3755
     110      38.2660      36.4161
     111      42.7301      37.3845
     112      39.2848      33.2569
     113      41.8073      34.3731
     114      39.7429      31.8646
     115      41.6314      33.5380
     116      41.0673      32.3401
     117      41.4366      34.4999
     118      39.8385      41.2905
     119      37.1165      33.0347
     120      39.7832      41.5281
     121      41.6431      38.1714
     122      33.8876      32.9545
     123      37.4107      34.9505
     124      39.0416      30.8015
     125      37.1467      29.8333
     126      39.0776      34.5165
     127      37.2345      32.9099
     128      34.9179      30.7425
     129      35.2203      26.3096
     130      39.6768      34.3104
     131      40.4011      30.5265
     132      39.1878      35.0133
     133      37.9316      32.0408
     134      37.5222      35.5890
     135      33.4768      35.6228
     136      36.6165      39.0408
     137      39.1906      34.7633
     138      41.2468      32.9227
     139      40.1699      31.8878
     140      39.5778      31.9530
     141      39.1738      32.8947
     142      39.6097      34.8626
     143      38.9389      36.0207
     144      38.6124      34.2970
     145      44.0800      33.8273
     146      40.0373      36.9501
     147      37.9509      34.7083
     148      38.2481      33.0373
     149      37.3577      34.7479
     150      36.3387      34.2489
     151      40.4281      35.2507
     152      38.7817      29.5238
     153      38.5576      32.1022
     154      37.6471      36.8979
     155      35.8132      36.0105
     156      36.9861      39.1279
     157      33.8764      37.1307
     158      35.1977      34.9738
     159      37.3376      33.8403
     160      39.0228      33.3185
     161      36.8132      35.8766
     162      34.8106      34.1644
     163      34.1599      35.5223
     164      36.1627      32.9118
     165      36.6525      31.0175
     166      36.5227      34.9493
     167      40.3414      37.9057
     168      38.4691      32.6578
     169      38.6239      37.2473
     170      38.3254      34.6092
     171      39.4217      36.5998
     172      42.2626      32.8021
     173      39.0568      31.5036
     174      38.1641      34.5002
     175      37.7133      35.8383
     176      42.6052      33.1197
     177      38.6816      34.5674
     178      39.4923      35.1697
     179      43.0813      36.4747
     180      42.8790      34.2064
     181      43.8759      31.3030
     182      44.4844      33.6841
     183      44.6177      31.2980
     184      47.1876      30.5523
     185      40.2309      28.3674
     186      39.3283      27.6590
     187      39.3180      31.8268
     188      38.9980      32.2606
     189      38.2757      33.5351
     190      43.7584      31.9816
     191      40.4947      29.5617
     192      40.4156      34.4903
     193      38.8944      31.9275
     194      34.5621      34.5581
     195      39.8789      37.5701
     196      40.6792      34.8472
     197      34.9453      34.9225
     198      35.0147      33.8062
     199      36.0707      32.9153
     200      36.1888      34.1113
     201      40.2963      30.6619
     202      39.9083      29.0797
     203      38.9260      29.8390
     204      40.6761      34.2191
     205      38.1875      34.2735
     206      34.3791      31.8390
     207      40.4881      34.9293
     208      39.0616      34.4285
     209      40.6764      31.2828
     210      37.8384      35.5056
     211      38.8065      39.6455
     212      38.2712      33.9432
     213      37.1783      28.5033
     214      40.3654      30.2226
     215      40.7204      30.9593
     216      39.5446      31.3098
     217      37.1189      28.6709
     218      42.7167      30.5151
     219      40.4468      30.1610
     220      41.6055      27.1365
     221      40.2893      32.1646
     222      38.3940      31.1523
     223      33.0927      33.3138
     224      36.3101      29.9283
     225      30.9328      29.0295
     226      33.4109      34.8674
     227      35.2408      30.6004
     228      33.0288      29.0347
     229      35.9675      35.5160
     230      30.0464      33.7604
     231      35.2009      35.2339
     232      35.7227      34.2810
     233      38.4385      35.1279
     234      38.1453      35.3653
     235      36.6703      33.8158
     236      35.3961      31.0835
     237      38.5107      33.5775
     238      36.6602      29.5514
     239      31.6770      28.6681
     240      35.7710      35.0400
     241      37.2229      28.6682
     242      38.2870      33.1140
     243      38.1441      32.4272
     244      43.9392      27.2218
     245      39.1382      33.3844
     246      36.9176      31.9970
     247      33.9001      31.5440
     248      36.1194      36.1203
     249      34.8194      34.2374
     250      35.9452      35.7421
     251      35.8225      34.4180
     252      34.9538      32.6409
     253      39.6323      32.5652
     254      36.9488      32.1932
     255      40.5190      31.4153
     256      36.3727      30.2778
     257      40.8980      26.2061
     258      33.8939      27.6006
     259      36.1798      28.4550
     260      36.6688      31.5814
     261      33.6758      34.2437
     262      33.0875      38.5103
     263      30.3144      37.7955
     264      36.0885      34.7722
     265      36.4061      37.9783
     266      32.4047      36.7127
     267      37.2351      36.0956
     268      35.8214      32.6625
     269      36.8570      33.6824
     270      37.8291      38.1234
     271      35.6960      33.7541
     272      34.7631      33.1641
     273      36.6379      32.4903
     274      34.6334      31.3012
     275      35.1581      38.1906
     276      38.7019      31.9726
     277      36.1243      32.2205
     278      35.9055      33.3985
     279      35.2019      33.1536
     280      32.8815      29.2307
     281      39.6139      31.0813
     282      38.2892      30.5409
     283      35.3715      38.1970
     284      38.6701      32.1195
     285      39.9964      36.2801
     286      37.8487      35.7948
     287      34.9473      33.6926
     288      38.5011      33.6084
     289      32.3555      29.8655
     290      35.3399      33.4290
     291      34.8082      35.3159
     292      36.0302      34.2206
     293      33.4974      34.1400
     294      32.4990      31.1670
     295      33.2205      31.5092
     296      36.8779      38.7282
     297      39.0337      33.3030
     298      33.9724      33.8549
     299      36.8995      31.4206
     300      37.2580      32.9953
     301      35.2009      34.3053
     302      36.2962      35.3622
     303      35.4029      34.9486
     304      34.6533      34.8372
     305      36.4523      32.2385
     306      37.1143      32.7851
     307      38.9851      29.6628
     308      39.3856      31.8582
     309      39.0729      34.2287
     310      35.8065      30.2512
     311      39.0058      30.2970
     312      43.2581      31.6035
     313      36.7106      29.7174
     314      37.8048      30.1453
     315      39.4918      30.7876
     316      38.5817      34.6297
     317      42.1322      31.8984
     318      38.5209      32.8404
     319      35.8064      30.5572
     320      39.6839      31.2147
     321      39.1067      31.8723
     322      36.8426      29.8902
     323      39.4504      34.1889
     324      39.8392      29.4383
     325      37.4165      32.2713
     326      41.4050      31.9486
     327      40.0092      32.7651
     328      39.9136      32.4310
     329      38.8174      29.9690
     330      37.5999      33.5774
     331      39.6503      32.7681
     332      38.9366      29.8229
     333      38.7211      32.1327
     334      37.6863      26.4275
     335      37.7641      31.4528
     336      36.7332      31.4715
     337      37.6767      34.1827
     338      36.7199      29.3064
     339      40.3216      27.4387
     340      38.3234      27.9620
     341      38.9739      30.8636
     342      40.0114      30.7804
     343      39.9679      30.0478
     344      41.3761      31.2363
     345      42.1584      32.7976
     346      40.9066      31.7171
     347      40.0137      31.3089
     348      38.2635      30.1000
     349      39.9878      29.9626
     350      39.2812      30.7119
     351      39.5375      31.8128
     352      37.7290      29.5720
     353      38.6965      29.0444
     354      37.3105      29.7645
     355      37.1164      30.4343
     356      39.9107      31.9220
     357      39.8399      31.7239
     358      37.6395      32.6202
     359      40.6025      33.8224
     360      37.8638      31.5877
     361      36.8292      33.6859
     362      38.9788      35.0095
     363      39.7479      34.4625
