Using WEST data from '/ix/lchong/dty7/d1d2/2kod/o_angle/2d_min_1_2_ss_v00/west.h5'
# successful (recycled) segments
# column 0:    iteration
# column 1:    seg_id
# column 2:    weight
# column>2:    final progress coordinate value
     426          72      2.185163878011e-65           13.0865           14.6514
     538          10     6.7588547258566e-97           14.0843           13.3811
     595           3    6.1938724463619e-115           12.5005           14.7065
     627           0    4.2077536286316e-119           10.4244           14.8785
     650           2     2.9979697141045e-72           11.2892           14.9407
     650          14     4.5729491197674e-72          8.548901           12.1603
     652           7     2.5258952642338e-77             14.59           14.9644
     654           1     7.4161612984965e-73           12.2449           14.3516
     655          59     3.9467113503654e-79           14.4916           14.9361
     655          62     1.5786845401461e-78           14.5334           14.6172
     657          12     2.0296511828647e-72           12.7709           13.3058
     659           1     5.2367922960654e-73           11.7079           14.7973
     661          75     1.3670356376584e-73           14.4725           14.6593
     662           2     1.8225458628034e-73           12.3967           14.2577
     662          65     3.4175890941459e-74           14.8469           13.6462
     663           0     1.8856596947653e-73           13.1378           14.9108
     665           4     2.7653460747223e-73           14.7326           14.2353
     665          71     1.0436047046656e-74           14.4477           14.2188
     666           4     2.6090117616639e-75           14.2587           13.5521
     666          66     6.2362152163963e-75           12.9089             14.41
     669           2     7.0169084461136e-74           13.0454           13.9718
     670          61     1.5405770926153e-75           13.4261           13.8721
     670          62     1.5405770926153e-75           14.9424           14.8646
     676           0     1.0792426665918e-74           14.9345           14.6316
     692           0     7.8812002588133e-75           14.3864           13.4062
     697           5     3.9256898343755e-75           14.8167            13.046
     699           1     1.4600606472323e-74           12.5048           14.9147
     700           6     7.8326561475908e-75            13.186           14.9755
     700          66     3.4207394198323e-76           14.7651           14.3897
     703          70     3.3582048742878e-75           14.3628           13.8484
     710           3     2.0246306439278e-74            8.7076           14.2223
     713           2     8.5639527573529e-75           12.7714           13.1462
     715           5      3.216353895045e-75           14.9871           14.8722
     716           3     2.5743779815635e-74           11.8136           14.0564
     716          60     1.6081769475225e-75           14.0664           14.0342
     717           5     2.0102211844031e-76           14.2357           12.7085
     717           6     2.0102211844031e-76           12.9289           13.3123
     721           6     1.5355856269746e-77           14.6675           13.1278
     721           7     3.3503686406719e-77           14.6729           14.4831
     722           1     6.2819412012598e-78           14.5147           12.8542
     722           2      5.118618756582e-78           13.1138            12.071
     722          75     1.5704853003149e-78           14.6549           13.4879
     725           4     2.4538832817421e-80           13.2434           14.0308
     725           7     2.4538832817421e-80           14.2684           12.7858
     726          78     6.1347082043553e-81           12.4926           13.6137
     727          75     1.5336770510888e-81           14.7326           13.9155
     729           0     7.6683852554441e-82           13.9581             14.69
     730           7     1.3632684898567e-81           14.6378           13.4049
     730          73     1.5336770510888e-81            14.873           14.9227
     732           7     4.0738296669547e-82           14.2649            14.406
     733           4     2.0369148334773e-82           13.5212           13.4339
     733           6     2.0369148334773e-82           14.0092           11.2614
     733           7     2.0369148334773e-82           13.9957           14.8925
     735           6     2.5461435418467e-83           14.1764           12.6126
     735           7     2.5461435418467e-83           14.5791           14.3122
     737           1     1.5913397136542e-84           12.6871           14.7074
     737           2     1.5913397136542e-84           13.5263           14.5214
     737           3     1.5913397136542e-84            11.885            10.714
     737          74     7.9566985682708e-85           14.6941            13.071
     737          76     3.1826794273083e-84           13.5913           13.7906
     737          78     3.1826794273083e-84           11.4557            14.672
     737          79     3.1826794273083e-84            12.066           13.7393
     738           1     1.0608931424361e-84           12.1396           12.3156
     738           2     1.0608931424361e-84            14.743           14.4235
     738           3     1.0608931424361e-84            12.793           13.8264
     738           5     1.2730717709233e-83           14.1502           12.9861
     738           6      1.352638756606e-83           14.2828           11.3511
     739           5     1.2730717709233e-83           12.4161           14.2408
     739          72     3.9783492841354e-85             12.38           12.5195
     739          73     3.9783492841354e-85           11.3231           14.9469
     740           0     1.9891746420677e-85            13.273           14.4121
     740           1     1.9891746420677e-85           10.8051           13.8382
